Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Hyundai NEW SANTRO,Hyundai,2018,"57,764 km",Petrol,Auto,"EMI ₹6,885/m*",₹3.90 lakh
Hyundai Xcent,Hyundai,2014,"1,09,489 km",Petrol,Auto,"EMI ₹10,650/m*",₹3.21 lakh
KIA SELTOS,KIA,2019,"81,333 km",Petrol,Auto,"EMI ₹16,438/m*",₹9.60 lakh
Maruti IGNIS,Maruti,2017,"79,590 km",Petrol,Auto,"EMI ₹8,999/m*",₹4.60 lakh
Renault TRIBER,Renault,2020,"39,239 km",Petrol,Auto,"EMI ₹10,341/m*",₹5.86 lakh
Honda Amaze,Honda,2014,"48,418 km",Petrol,Manual,"EMI ₹11,060/m*",₹3.33 lakh
Tata NEXON,Tata,2023,"15,361 km",Petrol,Auto,"EMI ₹17,105/m*",₹9.99 lakh
Tata NEXON,Tata,2019,"37,426 km",Petrol,Auto,"EMI ₹11,457/m*",₹6.49 lakh
Ford Ecosport,Ford,2013,"73,821 km",Diesel,Manual,"EMI ₹33,779/m*",₹3.80 lakh
Mahindra XUV500,Mahindra,2016,"1,15,749 km",Diesel,Auto,"EMI ₹20,962/m*",₹7.96 lakh
Volkswagen Vento,Volkswagen,2014,"1,13,524 km",Petrol,Auto,"EMI ₹12,655/m*",₹3.81 lakh
Maruti Ertiga,Maruti,2016,"86,019 km",Petrol,Manual,"EMI ₹14,236/m*",₹6.40 lakh
Honda Brio,Honda,2017,"84,842 km",Petrol,Auto,"EMI ₹7,818/m*",₹4.00 lakh
Skoda Rapid,Skoda,2014,"1,15,272 km",Diesel,Manual,"EMI ₹14,593/m*",₹3.10 lakh
Maruti Dzire,Maruti,2018,"32,548 km",Petrol,Auto,"EMI ₹10,002/m*",₹5.67 lakh
Hyundai Elite i20,Hyundai,2017,"81,441 km",Petrol,Manual,"EMI ₹9,149/m*",₹4.68 lakh
Volkswagen Vento,Volkswagen,2014,"1,05,619 km",Petrol,Manual,"EMI ₹12,854/m*",₹3.87 lakh
KIA SONET,KIA,2021,"98,661 km",Diesel,Manual,"EMI ₹13,151/m*",₹7.45 lakh
KIA SONET,KIA,2023,"21,456 km",Petrol,Manual,"EMI ₹16,266/m*",₹9.50 lakh
Maruti IGNIS,Maruti,2018,"75,397 km",Petrol,Auto,"EMI ₹8,229/m*",₹4.66 lakh
KIA SONET,KIA,2023,"12,979 km",Petrol,Manual,"EMI ₹16,352/m*",₹9.55 lakh
Renault TRIBER,Renault,2023,"39,158 km",Petrol,Manual,"EMI ₹10,856/m*",₹6.15 lakh
Mahindra XUV500,Mahindra,2014,"71,221 km",Diesel,Manual,"EMI ₹30,598/m*",₹6.50 lakh
Ford New Figo,Ford,2020,"64,216 km",Petrol,Manual,"EMI ₹8,826/m*",₹5.00 lakh
KIA SELTOS,KIA,2021,"48,395 km",Petrol,Manual,"EMI ₹16,690/m*",₹9.75 lakh
Honda City,Honda,2018,"74,431 km",Petrol,Manual,"EMI ₹11,651/m*",₹6.60 lakh
Renault Duster,Renault,2015,"99,005 km",Diesel,Manual,"EMI ₹15,007/m*",₹4.52 lakh
Hyundai Xcent,Hyundai,2015,"80,603 km",Petrol,Auto,"EMI ₹9,138/m*",₹3.47 lakh
Honda City,Honda,2016,"74,454 km",CNG,Auto,"EMI ₹20,759/m*",₹6.25 lakh
Tata NEXON,Tata,2021,"77,782 km",Petrol,Manual,"EMI ₹13,063/m*",₹7.40 lakh
Hyundai Grand i10,Hyundai,2019,"52,431 km",Petrol,Auto,"EMI ₹8,279/m*",₹4.69 lakh
Volkswagen Vento,Volkswagen,2014,"48,605 km",Petrol,Auto,"EMI ₹13,461/m*",₹4.05 lakh
Hyundai Creta,Hyundai,2016,"87,878 km",Petrol,Auto,"EMI ₹14,988/m*",₹6.74 lakh
KIA SONET,KIA,2021,"36,731 km",Petrol,Auto,"EMI ₹14,229/m*",₹8.31 lakh
KIA SONET,KIA,2021,"67,346 km",Diesel,Auto,"EMI ₹13,972/m*",₹8.16 lakh
Tata Tiago,Tata,2022,"39,779 km",Petrol,Manual,"EMI ₹9,691/m*",₹5.49 lakh
Tata NEXON,Tata,2023,"40,612 km",Petrol,Auto,"EMI ₹14,040/m*",₹8.20 lakh
KIA SELTOS,KIA,2019,"87,807 km",Diesel,Auto,"EMI ₹15,732/m*",₹9.19 lakh
Ford Ecosport,Ford,2017,"83,122 km",Diesel,Manual,"EMI ₹12,731/m*",₹5.72 lakh
Hyundai VENUE,Hyundai,2019,"61,795 km",Petrol,Auto,"EMI ₹12,837/m*",₹7.27 lakh
Tata NEXON,Tata,2022,"27,912 km",Diesel,Manual,"EMI ₹16,677/m*",₹9.74 lakh
Skoda Rapid,Skoda,2013,"1,02,515 km",Diesel,Manual,"EMI ₹33,590/m*",₹3.78 lakh
Honda City,Honda,2015,"1,07,354 km",Petrol,Auto,"EMI ₹11,060/m*",₹4.20 lakh
Mahindra XUV500,Mahindra,2015,"77,461 km",Diesel,Manual,"EMI ₹27,435/m*",₹8.38 lakh
Hyundai Elite i20,Hyundai,2018,"50,297 km",Petrol,Auto,"EMI ₹10,909/m*",₹6.18 lakh
Volkswagen Vento,Volkswagen,2014,"82,675 km",Diesel,Auto,"EMI ₹17,899/m*",₹3.80 lakh
Maruti Ertiga,Maruti,2018,"95,323 km",Petrol,Manual,"EMI ₹12,166/m*",₹6.89 lakh
Maruti Swift,Maruti,2013,"1,28,567 km",Diesel,Manual,"EMI ₹31,881/m*",₹3.59 lakh
Ford FREESTYLE,Ford,2021,"52,791 km",Petrol,Manual,"EMI ₹9,656/m*",₹5.47 lakh
Maruti S Cross,Maruti,2015,"1,24,371 km",Diesel,Manual,"EMI ₹16,538/m*",₹4.98 lakh
Maruti Grand Vitara,Maruti,2022,"52,705 km",Petrol,Auto,"EMI ₹22,944/m*",₹13.40 lakh
KIA SONET,KIA,2022,"24,322 km",Diesel,Manual,"EMI ₹16,780/m*",₹9.80 lakh
Maruti Ciaz,Maruti,2018,"59,584 km",Petrol,Auto,"EMI ₹11,141/m*",₹6.31 lakh
Hyundai Creta,Hyundai,2018,"49,948 km",Petrol,Auto,"EMI ₹14,537/m*",₹8.49 lakh
KIA SONET,KIA,2021,"34,880 km",Diesel,Manual,"EMI ₹14,691/m*",₹8.58 lakh
Maruti Ertiga,Maruti,2016,"71,956 km",Diesel,Manual,"EMI ₹19,750/m*",₹7.50 lakh
