Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Toyota Etios,Toyota,2011,"49,606 km",Petrol,Manual,"EMI ₹7,132/m*",₹1.67 lakh
Maruti Swift Dzire,Maruti,2014,"87,739 km",Petrol,Manual,"EMI ₹9,034/m*",₹2.72 lakh
Tata NEXON,Tata,2018,"86,782 km",Diesel,Auto,"EMI ₹9,775/m*",₹5.00 lakh
Maruti Vitara Brezza,Maruti,2022,"17,616 km",Petrol,Manual,"EMI ₹15,444/m*",₹9.02 lakh
Ford Ecosport,Ford,2017,"84,665 km",Diesel,Manual,"EMI ₹10,766/m*",₹4.84 lakh
Maruti Vitara Brezza,Maruti,2016,"1,40,000 km",Diesel,Manual,"EMI ₹12,245/m*",₹4.65 lakh
Mahindra Scorpio,Mahindra,2017,"10,605 km",Diesel,Manual,"EMI ₹19,025/m*",₹8.75 lakh
Maruti New Wagon-R,Maruti,2021,"1,49,788 km",Petrol,Manual,"EMI ₹10,611/m*",₹4.77 lakh
Ford Ecosport,Ford,2019,"33,185 km",Petrol,Manual,"EMI ₹11,474/m*",₹6.50 lakh
Maruti Swift Dzire,Maruti,2016,"1,32,491 km",Petrol,Manual,"EMI ₹7,299/m*",₹3.28 lakh
Maruti Dzire,Maruti,2017,"56,157 km",Diesel,Manual,"EMI ₹7,786/m*",₹3.50 lakh
Hyundai i20 Active,Hyundai,2017,"52,457 km",Petrol,Manual,"EMI ₹9,443/m*",₹4.83 lakh
Maruti Baleno,Maruti,2016,"58,209 km",Petrol,Manual,"EMI ₹9,454/m*",₹4.25 lakh
Hyundai i20 Active,Hyundai,2017,"1,26,640 km",Petrol,Manual,"EMI ₹8,431/m*",₹3.79 lakh
Maruti Dzire,Maruti,2022,"55,713 km",Petrol,Manual,"EMI ₹10,380/m*",₹5.88 lakh
Maruti S Cross,Maruti,2021,"93,921 km",Petrol,Manual,"EMI ₹15,239/m*",₹8.90 lakh
Maruti Dzire,Maruti,2020,"26,046 km",Petrol,Manual,"EMI ₹9,568/m*",₹5.42 lakh
Maruti Alto,Maruti,2021,"40,068 km",Petrol,Manual,"EMI ₹5,755/m*",₹3.26 lakh
Mahindra XUV500,Mahindra,2017,"37,063 km",Diesel,Manual,"EMI ₹16,092/m*",₹7.23 lakh
Maruti IGNIS,Maruti,2022,"68,291 km",Petrol,Manual,"EMI ₹6,178/m*",₹3.50 lakh
Hyundai GRAND I10 NIOS,Hyundai,2019,"65,500 km",Diesel,Manual,"EMI ₹9,374/m*",₹5.31 lakh
Maruti Vitara Brezza,Maruti,2021,"44,684 km",Petrol,Manual,"EMI ₹11,986/m*",₹6.79 lakh
Maruti XL6,Maruti,2022,"37,756 km",Petrol,Auto,"EMI ₹21,609/m*",₹12.62 lakh
Mahindra Bolero,Mahindra,2020,"51,447 km",Diesel,Manual,"EMI ₹9,303/m*",₹5.27 lakh
Maruti Baleno,Maruti,2020,"78,842 km",Petrol,Manual,"EMI ₹8,209/m*",₹4.65 lakh
Mahindra XUV700,Mahindra,2022,"82,939 km",Diesel,Auto,"EMI ₹34,896/m*",₹20.38 lakh
Tata PUNCH,Tata,2021,"31,975 km",Petrol,Auto,"EMI ₹14,999/m*",₹8.76 lakh
Hyundai Grand i10,Hyundai,2017,"48,183 km",Petrol,Manual,"EMI ₹6,925/m*",₹3.54 lakh
Honda Amaze,Honda,2021,"63,495 km",Petrol,Manual,"EMI ₹12,586/m*",₹7.13 lakh
