Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Maruti Dzire,Maruti,2018,"30,696 km",Petrol,Auto,"EMI ₹8,840/m*",₹5.01 lakh
Maruti Ertiga,Maruti,2012,"1,35,791 km",Petrol,Manual,"EMI ₹29,142/m*",₹3.28 lakh
Ford New Figo,Ford,2020,"71,297 km",Petrol,Manual,"EMI ₹6,334/m*",₹3.59 lakh
Maruti Wagon R 1.0,Maruti,2014,"54,851 km",Petrol,Manual,"EMI ₹7,334/m*",₹2.21 lakh
Honda Brio,Honda,2015,"49,238 km",Petrol,Manual,"EMI ₹6,162/m*",₹2.34 lakh
Hyundai New Elantra,Hyundai,2012,"1,29,639 km",Diesel,Manual,"EMI ₹6,162/m*",₹2.80 lakh
Maruti Ciaz,Maruti,2023,"28,331 km",Petrol,Manual,"EMI ₹12,994/m*",₹7.36 lakh
Maruti Wagon R 1.0,Maruti,2015,"92,101 km",CNG,Manual,"EMI ₹10,827/m*",₹2.30 lakh
Maruti Baleno,Maruti,2018,"47,330 km",Petrol,Auto,"EMI ₹9,087/m*",₹5.15 lakh
Ford Ecosport,Ford,2019,"76,497 km",Diesel,Manual,"EMI ₹11,046/m*",₹6.26 lakh
Hyundai Creta,Hyundai,2015,"96,391 km",Petrol,Manual,"EMI ₹12,772/m*",₹4.85 lakh
Maruti Wagon R 1.0,Maruti,2013,"65,863 km",CNG,Manual,"EMI ₹12,772/m*",₹2.01 lakh
Hyundai Grand i10,Hyundai,2015,"45,488 km",Petrol,Auto,"EMI ₹7,894/m*",₹3.00 lakh
Honda Jazz,Honda,2017,"53,561 km",Petrol,Manual,"EMI ₹6,497/m*",₹3.32 lakh
Maruti Wagon R 1.0,Maruti,2016,"45,423 km",Petrol,Manual,"EMI ₹5,850/m*",₹2.63 lakh
Maruti Ciaz,Maruti,2018,"88,214 km",Diesel,Manual,"EMI ₹11,394/m*",₹5.83 lakh
Volkswagen Polo,Volkswagen,2017,"69,761 km",Petrol,Auto,"EMI ₹8,109/m*",₹4.15 lakh
