Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Maruti Wagon R 1.0,Maruti,2011,"74,123 km",Petrol,Manual,"EMI ₹15,210/m*",₹2.00 lakh
Maruti Ritz,Maruti,2012,"1,08,727 km",Diesel,Manual,"EMI ₹15,210/m*",₹2.28 lakh
Tata Tiago,Tata,2018,"57,255 km",Petrol,Manual,"EMI ₹5,296/m*",₹3.00 lakh
Hyundai i20,Hyundai,2010,"1,00,000 km",Petrol,Manual,"EMI ₹5,296/m*",₹0.88 lakh
Maruti Swift,Maruti,2013,"1,04,732 km",Petrol,Manual,"EMI ₹14,075/m*",₹2.99 lakh
Renault Kwid,Renault,2019,"46,337 km",Petrol,Auto,"EMI ₹5,137/m*",₹2.91 lakh
Hyundai Grand i10,Hyundai,2018,"28,499 km",Petrol,Auto,"EMI ₹8,898/m*",₹4.00 lakh
Volkswagen Vento,Volkswagen,2015,"1,32,193 km",Diesel,Manual,"EMI ₹10,562/m*",₹3.18 lakh
Hyundai Grand i10,Hyundai,2016,"1,04,348 km",Petrol,Auto,"EMI ₹6,495/m*",₹2.92 lakh
Maruti Baleno,Maruti,2023,"1,24,492 km",Petrol,Manual,"EMI ₹14,459/m*",₹6.50 lakh
Maruti Alto K10,Maruti,2012,"79,677 km",Petrol,Manual,"EMI ₹14,660/m*",₹1.65 lakh
Tata Bolt,Tata,2015,"80,763 km",Petrol,Manual,"EMI ₹4,766/m*",₹1.81 lakh
Maruti Alto,Maruti,2020,"29,283 km",Petrol,Manual,"EMI ₹5,719/m*",₹3.24 lakh
Maruti IGNIS,Maruti,2019,"1,41,300 km",Petrol,Auto,"EMI ₹9,276/m*",₹4.17 lakh
