Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Hyundai i20,Hyundai,2010,"10,10,197 km",Petrol,Manual,"EMI ₹15,227/m*",₹1.25 lakh
Maruti Wagon R 1.0,Maruti,2015,"1,06,814 km",Petrol,Manual,"EMI ₹6,847/m*",₹2.60 lakh
Volkswagen Polo,Volkswagen,2016,"62,592 km",Petrol,Manual,"EMI ₹7,719/m*",₹3.47 lakh
Maruti Swift Dzire,Maruti,2014,"1,69,108 km",Diesel,Manual,"EMI ₹18,123/m*",₹3.85 lakh
Volkswagen Polo,Volkswagen,2015,"1,00,800 km",Diesel,Manual,"EMI ₹9,964/m*",₹3.00 lakh
Honda Civic,Honda,2010,"71,130 km",Petrol,Manual,"EMI ₹9,964/m*",₹1.50 lakh
Maruti Zen Estilo,Maruti,2010,"24,822 km",Petrol,Manual,"EMI ₹9,964/m*",₹1.10 lakh
Mahindra XUV500,Mahindra,2013,"98,377 km",Diesel,Manual,"EMI ₹26,655/m*",₹3.00 lakh
Maruti Baleno,Maruti,2019,"50,653 km",Petrol,Manual,"EMI ₹8,826/m*",₹5.00 lakh
Volkswagen Vento,Volkswagen,2011,"1,13,024 km",Diesel,Manual,"EMI ₹8,826/m*",₹1.36 lakh
Tata Indica EV2,Tata,2016,"50,899 km",Diesel,Manual,"EMI ₹3,739/m*",₹1.42 lakh
Ford Ecosport,Ford,2014,"1,37,194 km",Diesel,Manual,"EMI ₹14,028/m*",₹2.98 lakh
Renault TRIBER,Renault,2022,"30,955 km",Petrol,Manual,"EMI ₹10,150/m*",₹5.75 lakh
Tata NEXON,Tata,2019,"1,36,000 km",Petrol,Manual,"EMI ₹11,567/m*",₹5.20 lakh
Ford Ecosport,Ford,2015,"79,600 km",Diesel,Manual,"EMI ₹15,179/m*",₹4.57 lakh
Renault Duster,Renault,2013,"95,855 km",Diesel,Manual,"EMI ₹19,991/m*",₹2.25 lakh
Renault Kwid,Renault,2016,"75,184 km",Petrol,Manual,"EMI ₹5,561/m*",₹2.50 lakh
Hyundai Verna,Hyundai,2012,"7,766 km",Petrol,Manual,"EMI ₹24,433/m*",₹2.75 lakh
Maruti Celerio,Maruti,2017,"53,113 km",Petrol,Auto,"EMI ₹6,608/m*",₹3.38 lakh
Chevrolet Spark,Chevrolet,2011,"1,03,960 km",Petrol,Manual,"EMI ₹6,608/m*",₹0.63 lakh
Ford Figo,Ford,2015,"47,818 km",Petrol,Manual,"EMI ₹6,847/m*",₹2.60 lakh
Hyundai i20,Hyundai,2010,"82,696 km",Petrol,Manual,"EMI ₹6,847/m*",₹1.40 lakh
Honda City,Honda,2014,"77,333 km",Petrol,Manual,"EMI ₹11,393/m*",₹3.43 lakh
Skoda Rapid,Skoda,2013,"1,11,069 km",Diesel,Manual,"EMI ₹23,634/m*",₹2.66 lakh
Maruti Alto 800,Maruti,2014,"83,959 km",Petrol,Manual,"EMI ₹6,311/m*",₹1.90 lakh
Maruti Dzire,Maruti,2017,"73,170 km",Petrol,Manual,"EMI ₹9,169/m*",₹4.69 lakh
Hyundai i20,Hyundai,2010,"78,929 km",Petrol,Manual,"EMI ₹9,169/m*",₹1.46 lakh
Maruti Alto,Maruti,2010,"15,257 km",Petrol,Manual,"EMI ₹9,169/m*",₹1.52 lakh
Maruti Ritz,Maruti,2016,"72,221 km",Petrol,Manual,"EMI ₹5,784/m*",₹2.60 lakh
Maruti Wagon R 1.0,Maruti,2016,"38,528 km",Petrol,Manual,"EMI ₹7,608/m*",₹3.42 lakh
Renault Duster,Renault,2012,"1,46,698 km",Diesel,Manual,"EMI ₹7,608/m*",₹1.93 lakh
Hyundai Elite i20,Hyundai,2014,"1,81,173 km",Petrol,Manual,"EMI ₹9,964/m*",₹3.00 lakh
Chevrolet Sail UVA,Chevrolet,2014,"2,21,963 km",Diesel,Manual,"EMI ₹5,649/m*",₹1.20 lakh
Maruti Wagon R 1.0,Maruti,2017,"49,167 km",Petrol,Manual,"EMI ₹6,843/m*",₹3.50 lakh
Hyundai i20,Hyundai,2011,"89,752 km",Petrol,Manual,"EMI ₹6,843/m*",₹1.65 lakh
Toyota Etios,Toyota,2013,"1,31,857 km",Diesel,Manual,"EMI ₹22,212/m*",₹2.50 lakh
