Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Hyundai Eon,Hyundai,2017,"39,805 km",Petrol,Manual,"EMI ₹3,880/m*",₹1.98 lakh
Maruti Alto 800,Maruti,2013,"53,831 km",Petrol,Manual,"EMI ₹7,567/m*",₹1.61 lakh
Tata NEXON,Tata,2018,"93,655 km",Petrol,Manual,"EMI ₹6,971/m*",₹3.95 lakh
Renault Kwid,Renault,2020,"55,336 km",Petrol,Manual,"EMI ₹4,809/m*",₹2.72 lakh
Hyundai i20,Hyundai,2013,"55,859 km",Petrol,Manual,"EMI ₹10,603/m*",₹2.25 lakh
Renault Kwid,Renault,2017,"79,870 km",Petrol,Manual,"EMI ₹3,826/m*",₹1.96 lakh
Maruti Swift Dzire,Maruti,2015,"98,682 km",Petrol,Manual,"EMI ₹8,495/m*",₹3.23 lakh
Hyundai Grand i10,Hyundai,2018,"86,919 km",CNG,Auto,"EMI ₹8,755/m*",₹3.94 lakh
Hyundai Grand i10,Hyundai,2014,"90,776 km",Petrol,Manual,"EMI ₹8,292/m*",₹2.50 lakh
Skoda Rapid,Skoda,2017,"1,20,361 km",Petrol,Auto,"EMI ₹7,474/m*",₹3.36 lakh
Jeep Compass,Jeep,2018,"76,385 km",Petrol,Auto,"EMI ₹13,679/m*",₹7.75 lakh
Jeep Compass,Jeep,2018,"68,910 km",Petrol,Auto,"EMI ₹11,229/m*",₹6.36 lakh
Ford Ecosport,Ford,2021,"47,341 km",Petrol,Manual,"EMI ₹9,483/m*",₹5.37 lakh
Honda Brio,Honda,2015,"69,450 km",Petrol,Manual,"EMI ₹5,455/m*",₹2.07 lakh
Honda WR-V,Honda,2019,"25,183 km",Petrol,Manual,"EMI ₹9,610/m*",₹5.44 lakh
Datsun Redi Go,Datsun,2017,"82,983 km",Petrol,Manual,"EMI ₹2,505/m*",₹1.28 lakh
Renault Kwid,Renault,2022,"27,697 km",Petrol,Auto,"EMI ₹6,304/m*",₹3.57 lakh
Tata TIGOR,Tata,2020,"89,732 km",Petrol,Manual,"EMI ₹6,443/m*",₹3.65 lakh
Tata Tiago,Tata,2020,"70,575 km",Petrol,Auto,"EMI ₹7,173/m*",₹4.06 lakh
Hyundai NEW I20,Hyundai,2021,"50,382 km",Petrol,Auto,"EMI ₹11,217/m*",₹6.35 lakh
Maruti Wagon R 1.0,Maruti,2014,"18,427 km",Petrol,Manual,"EMI ₹7,451/m*",₹2.24 lakh
Mahindra XUV500,Mahindra,2017,"83,342 km",Diesel,Manual,"EMI ₹13,910/m*",₹6.25 lakh
Toyota Innova Crysta,Toyota,2018,"1,06,885 km",Diesel,Manual,"EMI ₹29,740/m*",₹13.68 lakh
Ford Figo Aspire,Ford,2018,"52,950 km",CNG,Manual,"EMI ₹7,452/m*",₹3.35 lakh
Maruti Alto K10,Maruti,2016,"79,235 km",Petrol,Manual,"EMI ₹4,546/m*",₹2.04 lakh
Honda Brio,Honda,2015,"56,503 km",Petrol,Manual,"EMI ₹6,284/m*",₹2.39 lakh
Honda City,Honda,2017,"80,707 km",Petrol,Auto,"EMI ₹9,948/m*",₹5.09 lakh
Hyundai Grand i10,Hyundai,2019,"48,753 km",Petrol,Manual,"EMI ₹6,967/m*",₹3.95 lakh
MG HECTOR,MG,2021,"61,094 km",Petrol,Auto,"EMI ₹16,186/m*",₹9.45 lakh
Hyundai Grand i10,Hyundai,2018,"1,11,736 km",Petrol,Manual,"EMI ₹6,955/m*",₹3.13 lakh
Hyundai Grand i10,Hyundai,2018,"79,336 km",Petrol,Auto,"EMI ₹6,617/m*",₹3.75 lakh
Honda Brio,Honda,2012,"1,27,532 km",Petrol,Manual,"EMI ₹12,215/m*",₹1.37 lakh
Maruti Ciaz,Maruti,2018,"1,01,049 km",Petrol,Manual,"EMI ₹10,201/m*",₹4.59 lakh
Mahindra XUV300,Mahindra,2019,"1,34,003 km",Diesel,Manual,"EMI ₹12,735/m*",₹5.73 lakh
Hyundai Grand i10,Hyundai,2018,"66,773 km",Petrol,Manual,"EMI ₹6,593/m*",₹3.73 lakh
Mahindra XUV300,Mahindra,2021,"37,334 km",Diesel,Manual,"EMI ₹14,022/m*",₹8.19 lakh
Hyundai Eon,Hyundai,2017,"18,625 km",Petrol,Manual,"EMI ₹4,396/m*",₹2.25 lakh
Mahindra BOLERO NEO,Mahindra,2021,"1,24,389 km",Diesel,Manual,"EMI ₹15,696/m*",₹7.06 lakh
Maruti IGNIS,Maruti,2018,"85,388 km",Petrol,Auto,"EMI ₹6,307/m*",₹3.57 lakh
Hyundai Grand i10,Hyundai,2017,"65,345 km",CNG,Manual,"EMI ₹8,983/m*",₹3.41 lakh
Hyundai Xcent,Hyundai,2015,"61,983 km",Petrol,Manual,"EMI ₹8,817/m*",₹3.35 lakh
Tata TIAGO NRG,Tata,2022,"52,438 km",Petrol,Manual,"EMI ₹7,729/m*",₹4.38 lakh
Ford Ecosport,Ford,2018,"1,04,012 km",Diesel,Manual,"EMI ₹11,902/m*",₹5.35 lakh
Renault Kwid,Renault,2017,"43,063 km",Petrol,Auto,"EMI ₹4,225/m*",₹2.16 lakh
Tata Tiago,Tata,2019,"61,791 km",Diesel,Manual,"EMI ₹6,690/m*",₹3.79 lakh
Ford Ecosport,Ford,2013,"73,126 km",Diesel,Manual,"EMI ₹26,279/m*",₹2.96 lakh
Renault Kwid,Renault,2020,"98,530 km",Petrol,Manual,"EMI ₹4,497/m*",₹2.55 lakh
KIA CARENS,KIA,2022,"92,716 km",Diesel,Manual,"EMI ₹20,065/m*",₹11.72 lakh
Mahindra MARAZZO,Mahindra,2019,"84,800 km",Diesel,Manual,"EMI ₹10,069/m*",₹5.70 lakh
Hyundai Grand i10,Hyundai,2014,"47,125 km",Petrol,Manual,"EMI ₹10,639/m*",₹3.20 lakh
Hyundai i10,Hyundai,2015,"61,002 km",Petrol,Manual,"EMI ₹5,702/m*",₹2.17 lakh
Hyundai NEW SANTRO,Hyundai,2021,"79,520 km",CNG,Manual,"EMI ₹6,864/m*",₹3.89 lakh
Maruti Wagon R 1.0,Maruti,2015,"57,629 km",Petrol,Manual,"EMI ₹6,488/m*",₹2.46 lakh
Hyundai Elite i20,Hyundai,2017,"1,31,406 km",Petrol,Manual,"EMI ₹8,810/m*",₹3.96 lakh
Renault Duster,Renault,2018,"77,522 km",Petrol,Manual,"EMI ₹7,155/m*",₹4.05 lakh
Tata Zest,Tata,2014,"64,879 km",Diesel,Manual,"EMI ₹11,966/m*",₹2.54 lakh
Maruti Eeco,Maruti,2020,"65,614 km",Petrol,Manual,"EMI ₹6,348/m*",₹3.60 lakh
Ford Ecosport,Ford,2018,"90,566 km",Diesel,Manual,"EMI ₹9,794/m*",₹5.01 lakh
Ford Ecosport,Ford,2018,"60,421 km",CNG,Auto,"EMI ₹11,044/m*",₹4.96 lakh
Hyundai Grand i10,Hyundai,2015,"20,964 km",Petrol,Manual,"EMI ₹8,877/m*",₹3.37 lakh
Hyundai Grand i10,Hyundai,2016,"46,536 km",Petrol,Manual,"EMI ₹6,924/m*",₹3.11 lakh
Maruti Swift,Maruti,2016,"79,967 km",Petrol,Manual,"EMI ₹7,326/m*",₹3.29 lakh
Honda WR-V,Honda,2017,"79,377 km",Petrol,Manual,"EMI ₹7,673/m*",₹3.92 lakh
Tata ALTROZ,Tata,2021,"29,120 km",Petrol,Manual,"EMI ₹10,324/m*",₹5.85 lakh
Tata NEXON,Tata,2022,"71,970 km",Diesel,Auto,"EMI ₹13,859/m*",₹8.09 lakh
Honda Jazz,Honda,2017,"37,272 km",Petrol,Manual,"EMI ₹7,236/m*",₹3.70 lakh
Mahindra XUV300,Mahindra,2022,"26,264 km",Petrol,Auto,"EMI ₹13,416/m*",₹7.60 lakh
Hyundai Tucson,Hyundai,2021,"83,851 km",Petrol,Auto,"EMI ₹17,948/m*",₹10.48 lakh
KIA SONET,KIA,2023,"39,843 km",Petrol,Auto,"EMI ₹15,538/m*",₹9.07 lakh
Honda Jazz,Honda,2015,"74,952 km",Petrol,Manual,"EMI ₹8,743/m*",₹3.32 lakh
Honda WR-V,Honda,2019,"45,867 km",Petrol,Manual,"EMI ₹9,226/m*",₹5.23 lakh
Hyundai Verna,Hyundai,2015,"1,04,380 km",CNG,Manual,"EMI ₹23,751/m*",₹5.05 lakh
Ford Ecosport,Ford,2019,"1,26,514 km",Diesel,Manual,"EMI ₹11,780/m*",₹5.30 lakh
Renault Kwid,Renault,2017,"37,810 km",Petrol,Manual,"EMI ₹4,517/m*",₹2.31 lakh
Hyundai Grand i10,Hyundai,2018,"68,907 km",Petrol,Manual,"EMI ₹7,075/m*",₹4.01 lakh
Maruti Wagon R 1.0,Maruti,2015,"46,956 km",Petrol,Manual,"EMI ₹7,155/m*",₹2.72 lakh
Maruti Wagon R 1.0,Maruti,2014,"66,371 km",Petrol,Manual,"EMI ₹7,832/m*",₹2.36 lakh
Hyundai Grand i10,Hyundai,2016,"67,039 km",Petrol,Manual,"EMI ₹6,870/m*",₹3.09 lakh
Maruti Baleno,Maruti,2019,"75,860 km",Petrol,Auto,"EMI ₹8,078/m*",₹4.58 lakh
Hyundai NEW SANTRO,Hyundai,2020,"98,893 km",Petrol,Manual,"EMI ₹5,874/m*",₹3.33 lakh
