Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Volkswagen Vento,Volkswagen,2016,"94,772 km",Diesel,Auto,"EMI ₹9,691/m*",₹3.68 lakh
Tata NEXON,Tata,2019,"1,03,918 km",Petrol,Manual,"EMI ₹9,587/m*",₹4.31 lakh
Skoda Fabia,Skoda,2011,"1,67,998 km",Diesel,Manual,"EMI ₹9,587/m*",₹0.96 lakh
Renault Pulse,Renault,2013,"2,00,000 km",Diesel,Manual,"EMI ₹10,928/m*",₹1.23 lakh
Maruti Ciaz,Maruti,2015,"70,127 km",Diesel,Manual,"EMI ₹14,282/m*",₹4.30 lakh
Maruti Ciaz,Maruti,2015,"1,49,923 km",Diesel,Manual,"EMI ₹13,618/m*",₹4.10 lakh
Maruti Baleno,Maruti,2020,"1,11,527 km",Petrol,Manual,"EMI ₹9,165/m*",₹4.12 lakh
Maruti Eeco,Maruti,2015,"97,876 km",Petrol,Manual,"EMI ₹5,425/m*",₹2.06 lakh
Skoda SLAVIA,Skoda,2022,"83,462 km",Petrol,Auto,"EMI ₹15,307/m*",₹8.94 lakh
Toyota Innova Crysta,Toyota,2018,"89,895 km",Diesel,Manual,"EMI ₹19,262/m*",₹10.12 lakh
Hyundai i20,Hyundai,2014,62 km,Diesel,Manual,"EMI ₹9,179/m*",₹1.95 lakh
Maruti Alto K10,Maruti,2023,"35,982 km",Petrol,Manual,"EMI ₹7,997/m*",₹4.53 lakh
Maruti Alto K10,Maruti,2024,"9,369 km",Petrol,Manual,"EMI ₹6,796/m*",₹3.85 lakh
Hyundai Grand i10,Hyundai,2016,"1,18,073 km",Petrol,Manual,"EMI ₹6,718/m*",₹3.02 lakh
Volkswagen Vento,Volkswagen,2017,"1,71,508 km",Diesel,Auto,"EMI ₹8,987/m*",₹4.04 lakh
Maruti Ertiga,Maruti,2014,"1,29,338 km",Diesel,Manual,"EMI ₹18,688/m*",₹3.97 lakh
Maruti Celerio,Maruti,2019,"73,357 km",Petrol,Manual,"EMI ₹4,643/m*",₹2.63 lakh
Renault TRIBER,Renault,2021,"1,60,229 km",Petrol,Manual,"EMI ₹10,010/m*",₹4.50 lakh
Audi A4,Audi,2013,"1,25,000 km",Diesel,Auto,"EMI ₹53,309/m*",₹6.00 lakh
Volkswagen Ameo,Volkswagen,2017,"87,690 km",Diesel,Manual,"EMI ₹7,474/m*",₹3.36 lakh
Maruti Eeco,Maruti,2011,"1,29,737 km",Petrol,Manual,"EMI ₹7,474/m*",₹1.35 lakh
Hyundai Creta,Hyundai,2018,"77,667 km",Petrol,Manual,"EMI ₹9,374/m*",₹5.31 lakh
Tata PUNCH,Tata,2024,"9,884 km",Petrol,Auto,"EMI ₹11,633/m*",₹6.59 lakh
Volkswagen Vento,Volkswagen,2016,"1,28,938 km",Diesel,Auto,"EMI ₹9,480/m*",₹3.60 lakh
Maruti Eeco,Maruti,2014,"1,80,824 km",Petrol,Manual,"EMI ₹6,975/m*",₹2.10 lakh
Volkswagen VIRTUS,Volkswagen,2022,"42,256 km",Petrol,Manual,"EMI ₹14,554/m*",₹8.50 lakh
MG ASTOR,MG,2022,"19,813 km",Petrol,Manual,"EMI ₹18,304/m*",₹10.69 lakh
Hyundai Elite i20,Hyundai,2015,"80,306 km",Diesel,Manual,"EMI ₹12,621/m*",₹3.80 lakh
Mahindra MARAZZO,Mahindra,2019,"89,149 km",Diesel,Manual,"EMI ₹7,961/m*",₹4.51 lakh
