Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Maruti Wagon R 1.0,Maruti,2017,"66,046 km",Petrol,Manual,"EMI ₹5,714/m*",₹2.92 lakh
Hyundai VENUE,Hyundai,2021,"68,193 km",Petrol,Manual,"EMI ₹11,386/m*",₹6.45 lakh
Maruti S PRESSO,Maruti,2019,"14,562 km",Petrol,Auto,"EMI ₹5,614/m*",₹3.18 lakh
Maruti Swift Dzire,Maruti,2017,"74,134 km",Petrol,Manual,"EMI ₹8,783/m*",₹4.49 lakh
Maruti Baleno,Maruti,2021,"44,246 km",Petrol,Auto,"EMI ₹10,486/m*",₹5.94 lakh
Hyundai Grand i10,Hyundai,2015,"60,077 km",Diesel,Manual,"EMI ₹11,029/m*",₹3.32 lakh
Renault Kwid,Renault,2017,"33,884 km",Petrol,Auto,"EMI ₹5,181/m*",₹2.65 lakh
Hyundai i10,Hyundai,2012,"63,545 km",Petrol,Manual,"EMI ₹16,259/m*",₹1.83 lakh
Mahindra MARAZZO,Mahindra,2019,"73,962 km",Diesel,Manual,"EMI ₹10,503/m*",₹5.95 lakh
Hyundai Grand i10,Hyundai,2014,"71,303 km",Petrol,Manual,"EMI ₹9,267/m*",₹2.79 lakh
Maruti Wagon R 1.0,Maruti,2012,"81,230 km",Petrol,Manual,"EMI ₹15,371/m*",₹1.73 lakh
Mahindra MARAZZO,Mahindra,2019,"77,798 km",Diesel,Manual,"EMI ₹9,974/m*",₹5.65 lakh
Maruti BREZZA,Maruti,2023,"70,672 km",CNG,Manual,"EMI ₹15,085/m*",₹8.81 lakh
Hyundai Grand i10,Hyundai,2019,"41,002 km",Petrol,Manual,"EMI ₹7,591/m*",₹4.30 lakh
Hyundai Elite i20,Hyundai,2019,"60,579 km",Petrol,Auto,"EMI ₹10,062/m*",₹5.70 lakh
Hyundai VENUE,Hyundai,2021,"52,318 km",Diesel,Manual,"EMI ₹15,051/m*",₹8.79 lakh
Maruti Alto K10,Maruti,2017,"34,727 km",Petrol,Auto,"EMI ₹5,161/m*",₹2.64 lakh
Nissan Terrano,Nissan,2014,"1,47,366 km",Diesel,Manual,"EMI ₹15,534/m*",₹3.30 lakh
Renault Kwid,Renault,2018,"43,357 km",Petrol,Manual,"EMI ₹4,201/m*",₹2.38 lakh
Honda Amaze,Honda,2023,"49,814 km",Petrol,Manual,"EMI ₹11,015/m*",₹6.24 lakh
Maruti New Wagon-R,Maruti,2019,"48,974 km",Petrol,Manual,"EMI ₹7,065/m*",₹4.00 lakh
Maruti Swift,Maruti,2017,"48,231 km",Diesel,Manual,"EMI ₹9,676/m*",₹4.35 lakh
Nissan MAGNITE,Nissan,2024,"12,406 km",Petrol,Manual,"EMI ₹11,492/m*",₹6.51 lakh
Hyundai Creta,Hyundai,2021,"47,970 km",Petrol,Auto,"EMI ₹20,547/m*",₹12.00 lakh
Tata NEXON,Tata,2023,"43,754 km",Petrol,Manual,"EMI ₹15,992/m*",₹9.34 lakh
Hyundai EXTER,Hyundai,2023,"36,887 km",Petrol,Auto,"EMI ₹13,257/m*",₹7.51 lakh
Tata TIGOR,Tata,2022,"84,637 km",CNG,Manual,"EMI ₹9,709/m*",₹5.50 lakh
Hyundai VENUE,Hyundai,2019,"63,227 km",Petrol,Manual,"EMI ₹11,383/m*",₹6.45 lakh
Datsun Redi Go,Datsun,2019,"73,399 km",Petrol,Auto,"EMI ₹4,028/m*",₹2.28 lakh
Maruti Baleno,Maruti,2020,"62,778 km",Petrol,Manual,"EMI ₹8,708/m*",₹4.93 lakh
Mahindra Thar,Mahindra,2023,"27,242 km",Petrol,Auto,"EMI ₹20,975/m*",₹12.25 lakh
KIA SONET,KIA,2021,"47,881 km",Petrol,Manual,"EMI ₹11,739/m*",₹6.65 lakh
Maruti Swift,Maruti,2020,"80,297 km",Petrol,Auto,"EMI ₹8,826/m*",₹5.00 lakh
Honda Amaze,Honda,2023,"16,246 km",Petrol,Auto,"EMI ₹12,410/m*",₹7.03 lakh
Hyundai NEW SANTRO,Hyundai,2020,"34,108 km",Petrol,Manual,"EMI ₹6,567/m*",₹3.72 lakh
Toyota URBAN CRUISER,Toyota,2020,"1,45,579 km",Petrol,Auto,"EMI ₹14,704/m*",₹6.61 lakh
Maruti Dzire,Maruti,2019,"46,580 km",Petrol,Manual,"EMI ₹8,961/m*",₹5.08 lakh
Maruti Ertiga,Maruti,2017,"68,394 km",Diesel,Manual,"EMI ₹15,914/m*",₹7.15 lakh
Maruti Ertiga,Maruti,2022,"16,466 km",Petrol,Auto,"EMI ₹16,425/m*",₹9.59 lakh
Honda City,Honda,2020,"60,811 km",Petrol,Auto,"EMI ₹14,742/m*",₹8.61 lakh
Tata TIGOR,Tata,2017,"1,34,427 km",Petrol,Manual,"EMI ₹7,541/m*",₹3.39 lakh
Honda Amaze,Honda,2013,"1,37,552 km",Diesel,Manual,"EMI ₹21,324/m*",₹2.40 lakh
Maruti Ritz,Maruti,2013,"66,076 km",Petrol,Manual,"EMI ₹10,735/m*",₹2.28 lakh
Maruti Wagon R 1.0,Maruti,2014,"1,15,132 km",Petrol,Manual,"EMI ₹6,909/m*",₹2.08 lakh
Maruti Baleno,Maruti,2018,"66,971 km",Petrol,Auto,"EMI ₹7,803/m*",₹4.42 lakh
Tata NEXON,Tata,2023,"19,397 km",Petrol,Manual,"EMI ₹14,725/m*",₹8.60 lakh
Datsun Redi Go,Datsun,2018,"69,854 km",Petrol,Manual,"EMI ₹3,925/m*",₹2.22 lakh
Hyundai i10,Hyundai,2013,"71,155 km",Petrol,Manual,"EMI ₹11,961/m*",₹2.54 lakh
Hyundai Verna,Hyundai,2018,"1,01,963 km",Diesel,Auto,"EMI ₹16,572/m*",₹7.45 lakh
Maruti Dzire,Maruti,2018,"40,523 km",Petrol,Manual,"EMI ₹8,713/m*",₹4.94 lakh
Volkswagen Polo,Volkswagen,2015,"1,43,803 km",Diesel,Manual,"EMI ₹11,957/m*",₹3.60 lakh
Renault Kwid,Renault,2018,"51,940 km",Petrol,Auto,"EMI ₹5,684/m*",₹3.22 lakh
Renault TRIBER,Renault,2022,"24,010 km",Petrol,Auto,"EMI ₹9,908/m*",₹5.61 lakh
Maruti Alto 800,Maruti,2019,"51,410 km",Petrol,Manual,"EMI ₹4,431/m*",₹2.51 lakh
Honda WR-V,Honda,2017,"1,00,165 km",Petrol,Manual,"EMI ₹9,387/m*",₹4.22 lakh
Hyundai Elite i20,Hyundai,2018,"75,401 km",Petrol,Auto,"EMI ₹9,003/m*",₹5.10 lakh
Maruti Vitara Brezza,Maruti,2020,"1,22,979 km",Petrol,Manual,"EMI ₹14,170/m*",₹6.37 lakh
Maruti Vitara Brezza,Maruti,2019,"62,836 km",Diesel,Auto,"EMI ₹13,725/m*",₹7.78 lakh
Ford Ecosport,Ford,2016,"1,42,699 km",Diesel,Manual,"EMI ₹11,455/m*",₹4.35 lakh
Maruti Baleno,Maruti,2019,"77,135 km",Petrol,Manual,"EMI ₹9,183/m*",₹5.20 lakh
Maruti Dzire,Maruti,2018,"68,893 km",Petrol,Manual,"EMI ₹8,385/m*",₹4.75 lakh
Tata ALTROZ,Tata,2021,"75,831 km",Diesel,Manual,"EMI ₹10,415/m*",₹5.90 lakh
Hyundai Elite i20,Hyundai,2016,"1,14,940 km",Petrol,Manual,"EMI ₹9,165/m*",₹4.12 lakh
Hyundai Creta,Hyundai,2019,"53,091 km",Diesel,Auto,"EMI ₹14,105/m*",₹7.99 lakh
