Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Honda Amaze,Honda,2014,128271,Petrol,Manual,7605,229000,12,Ahmedabad
Tata NEXON,Tata,2024,17029,Petrol,Auto,16961,991000,2,Ahmedabad
Hyundai GRAND I10 NIOS,Hyundai,2020,48835,Petrol,Manual,7845,444000,6,Ahmedabad
Tata Hexa,Tata,2018,101248,Diesel,Manual,15099,679000,8,Ahmedabad
Maruti Alto 800,Maruti,2017,83321,Petrol,Manual,3687,189000,9,Ahmedabad
Volkswagen TAIGUN,Volkswagen,2022,55492,Petrol,Auto,16551,967000,4,Ahmedabad
Hyundai i10,Hyundai,2012,105771,CNG,Manual,16551,158000,14,Ahmedabad
Tata Tiago,Tata,2017,45332,Petrol,Manual,5410,277000,9,Ahmedabad
Maruti Baleno,Maruti,2020,62577,Petrol,Manual,8864,501999,6,Ahmedabad
Maruti Alto 800,Maruti,2017,96802,Petrol,Manual,3804,195000,9,Ahmedabad
Skoda Rapid,Skoda,2021,106339,Petrol,Auto,9687,434999,5,Ahmedabad
Hyundai Creta,Hyundai,2019,92083,CNG,Auto,15402,788000,7,Ahmedabad
Hyundai Grand i10,Hyundai,2017,57995,Petrol,Manual,6008,307000,9,Ahmedabad
Hyundai Grand i10,Hyundai,2017,136006,Petrol,Manual,7228,325000,9,Ahmedabad
Maruti Alto 800,Maruti,2017,74892,Petrol,Manual,4258,218000,9,Ahmedabad
Hyundai Eon,Hyundai,2017,39805,Petrol,Manual,3880,198000,9,Ahmedabad
Maruti Alto 800,Maruti,2013,53831,Petrol,Manual,7567,161000,13,Ahmedabad
Tata NEXON,Tata,2018,93655,Petrol,Manual,6971,395000,8,Ahmedabad
Renault Kwid,Renault,2020,55336,Petrol,Manual,4809,272000,6,Ahmedabad
Hyundai i20,Hyundai,2013,55859,Petrol,Manual,10603,225000,13,Ahmedabad
Renault Kwid,Renault,2017,79870,Petrol,Manual,3826,196000,9,Ahmedabad
Maruti Swift Dzire,Maruti,2015,98682,Petrol,Manual,8495,323000,11,Ahmedabad
Hyundai Grand i10,Hyundai,2018,86919,CNG,Auto,8755,394000,8,Ahmedabad
Hyundai Grand i10,Hyundai,2014,90776,Petrol,Manual,8292,250000,12,Ahmedabad
Skoda Rapid,Skoda,2017,120361,Petrol,Auto,7474,336000,9,Ahmedabad
Jeep Compass,Jeep,2018,76385,Petrol,Auto,13679,775000,8,Ahmedabad
Jeep Compass,Jeep,2018,68910,Petrol,Auto,11229,636000,8,Ahmedabad
Ford Ecosport,Ford,2021,47341,Petrol,Manual,9483,537000,5,Ahmedabad
Honda Brio,Honda,2015,69450,Petrol,Manual,5455,206999,11,Ahmedabad
Honda WR-V,Honda,2019,25183,Petrol,Manual,9610,544000,7,Ahmedabad
Datsun Redi Go,Datsun,2017,82983,Petrol,Manual,2505,128000,9,Ahmedabad
Renault Kwid,Renault,2022,27697,Petrol,Auto,6304,357000,4,Ahmedabad
Tata TIGOR,Tata,2020,89732,Petrol,Manual,6443,365000,6,Ahmedabad
Tata Tiago,Tata,2020,70575,Petrol,Auto,7173,405999,6,Ahmedabad
Hyundai NEW I20,Hyundai,2021,50382,Petrol,Auto,11217,635000,5,Ahmedabad
Maruti Wagon R 1.0,Maruti,2014,18427,Petrol,Manual,7451,224000,12,Ahmedabad
Mahindra XUV500,Mahindra,2017,83342,Diesel,Manual,13910,625000,9,Ahmedabad
Toyota Innova Crysta,Toyota,2018,106885,Diesel,Manual,29740,1368000,8,Ahmedabad
Ford Figo Aspire,Ford,2018,52950,CNG,Manual,7452,335000,8,Ahmedabad
Maruti Alto K10,Maruti,2016,79235,Petrol,Manual,4546,204000,10,Ahmedabad
Honda Brio,Honda,2015,56503,Petrol,Manual,6284,239000,11,Ahmedabad
Honda City,Honda,2017,80707,Petrol,Auto,9948,509000,9,Ahmedabad
Hyundai Grand i10,Hyundai,2019,48753,Petrol,Manual,6967,395000,7,Ahmedabad
MG HECTOR,MG,2021,61094,Petrol,Auto,16186,944999,5,Ahmedabad
Hyundai Grand i10,Hyundai,2018,111736,Petrol,Manual,6955,313000,8,Ahmedabad
Hyundai Grand i10,Hyundai,2018,79336,Petrol,Auto,6617,375000,8,Ahmedabad
Honda Brio,Honda,2012,127532,Petrol,Manual,12215,137000,14,Ahmedabad
