Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Maruti Celerio,Maruti,2018,19523,Petrol,Manual,6779,384000,8,Kochi
Honda Amaze,Honda,2020,63983,Petrol,Auto,11580,656000,6,Kochi
Ford Ecosport,Ford,2019,76033,Petrol,Auto,11704,663000,7,Kochi
Mahindra XUV500,Mahindra,2019,174015,Diesel,Auto,19025,875000,7,Kochi
Nissan Micra,Nissan,2014,80097,Petrol,Auto,10396,313000,12,Kochi
Honda City,Honda,2016,82042,Petrol,Manual,10855,488000,10,Kochi
Maruti S PRESSO,Maruti,2024,11703,Petrol,Auto,9515,539000,2,Kochi
KIA SELTOS,KIA,2023,14176,Petrol,Auto,28218,1648000,3,Kochi
Hyundai Verna,Hyundai,2018,13347,Petrol,Auto,14931,872000,8,Kochi
Mahindra XUV700,Mahindra,2022,90000,Diesel,Auto,33817,1975000,4,Kochi
Hyundai Creta,Hyundai,2017,62437,Petrol,Manual,15249,780000,9,Kochi
Maruti Celerio X,Maruti,2019,30124,Petrol,Auto,8156,462000,7,Kochi
Mahindra XUV500,Mahindra,2017,71847,Diesel,Auto,20177,927999,9,Kochi
Ford Ecosport,Ford,2018,119626,Diesel,Manual,16327,734000,8,Kochi
Honda Amaze,Honda,2023,11033,Petrol,Manual,12692,719000,3,Kochi
Hyundai i20 Active,Hyundai,2015,37579,Petrol,Manual,11929,453000,11,Kochi
Honda Amaze,Honda,2021,58749,Petrol,Auto,12886,730000,5,Kochi
Mercedes Benz E Class,Mercedes,2014,87750,Diesel,Auto,76623,1644000,12,Kochi
KIA SELTOS,KIA,2021,37671,Petrol,Manual,17122,1000000,5,Kochi
Tata Tiago,Tata,2023,22685,Petrol,Auto,10388,588000,3,Kochi
Jeep Compass,Jeep,2018,124041,Diesel,Manual,19916,916000,8,Kochi
Maruti Ertiga,Maruti,2021,94200,Petrol,Manual,15838,925000,5,Kochi
Hyundai Creta,Hyundai,2020,74684,Petrol,Auto,22499,1314000,6,Kochi
Tata ALTROZ,Tata,2022,6450,Petrol,Auto,13504,765000,4,Kochi
Hyundai Creta,Hyundai,2021,56030,Petrol,Auto,23115,1350000,5,Kochi
MG HECTOR,MG,2021,43852,Petrol,Auto,20461,1195000,5,Kochi
KIA SELTOS,KIA,2022,32593,Petrol,Manual,18355,1072000,4,Kochi
Hyundai Creta,Hyundai,2018,82444,Diesel,Auto,20557,1080000,8,Kochi
Tata Tiago,Tata,2020,32756,Petrol,Auto,8738,495000,6,Kochi
Maruti Celerio,Maruti,2024,6544,Petrol,Auto,12127,687000,2,Kochi
Jeep Compass,Jeep,2019,68000,Diesel,Auto,25684,1500000,7,Kochi
Maruti Grand Vitara,Maruti,2023,59767,Petrol,Manual,20752,1212000,3,Kochi
Maruti Grand Vitara,Maruti,2022,20534,Petrol,Manual,22773,1330000,4,Kochi
KIA SONET,KIA,2022,70529,Diesel,Auto,19348,1130000,4,Kochi
KIA SELTOS,KIA,2020,95037,Petrol,Manual,17619,1028999,6,Kochi
Jeep Compass,Jeep,2021,51043,Petrol,Auto,27293,1594000,5,Kochi
CITROEN C3,CITROEN,2022,10624,Petrol,Manual,17122,1000000,4,Kochi
Audi Q8 E-TRON,Audi,2023,24686,Electric,Auto,173724,10100000,3,Kochi
Tata NEXON EV,Tata,2023,27257,Electric,Auto,20547,1200000,3,Kochi
Tata NEXON EV,Tata,2021,38971,Electric,Auto,14160,827000,5,Kochi
Maruti XL6,Maruti,2020,46331,Petrol,Manual,15736,919000,6,Kochi
Volkswagen Vento,Volkswagen,2014,184455,Diesel,Manual,14075,299000,12,Kochi
Volkswagen Polo,Volkswagen,2019,75551,Petrol,Manual,5825,330000,7,Kochi
Renault Kwid,Renault,2015,108555,Petrol,Manual,3008,113999,11,Kochi
Maruti S PRESSO,Maruti,2021,57016,Petrol,Manual,4678,265000,5,Kochi
Hyundai VENUE,Hyundai,2020,78987,Petrol,Manual,10080,571000,6,Kochi
Hyundai VENUE,Hyundai,2020,39128,Petrol,Manual,11131,631000,6,Kochi
Mahindra MARAZZO,Mahindra,2019,50344,Diesel,Manual,10747,609000,7,Kochi
Ford Ecosport,Ford,2016,57891,Petrol,Manual,9757,438999,10,Kochi
Maruti Swift,Maruti,2017,67049,Petrol,Manual,7370,377000,9,Kochi
Ford Classic,Ford,2014,85337,Diesel,Manual,10356,220000,12,Kochi
Maruti Alto K10,Maruti,2022,51407,CNG,Manual,5349,303000,4,Kochi
Hyundai Eon,Hyundai,2016,36637,Petrol,Manual,3937,177000,10,Kochi
Maruti Dzire,Maruti,2018,47350,Petrol,Auto,8897,504000,8,Kochi
Renault Kwid,Renault,2017,39405,Petrol,Auto,5024,256999,9,Kochi
Tata Hexa,Tata,2017,76356,Diesel,Manual,15855,713000,9,Kochi
Hyundai Grand i10,Hyundai,2018,67896,Petrol,Manual,6249,354000,8,Kochi
Nissan Kicks,Nissan,2020,48574,Petrol,Manual,11625,659000,6,Kochi
Tata Tiago,Tata,2019,38790,Petrol,Auto,7753,438999,7,Kochi
Renault Duster,Renault,2021,91138,Petrol,Manual,10874,616000,5,Kochi
Hyundai NEW SANTRO,Hyundai,2018,38742,Petrol,Auto,6169,349000,8,Kochi
