Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
MG HECTOR PLUS,MG,2022,22736,Petrol,Manual,18835,1100000,4,Mumbai
Maruti S PRESSO,Maruti,2021,90554,CNG,Manual,5455,309000,5,Mumbai
Hyundai Grand i10,Hyundai,2018,26465,Petrol,Manual,6002,340000,8,Mumbai
Maruti Alto 800,Maruti,2018,63632,CNG,Manual,5232,235000,8,Mumbai
Maruti Swift,Maruti,2020,24651,Petrol,Auto,8844,501000,6,Mumbai
Honda City,Honda,2016,41770,Petrol,Manual,10190,458000,10,Mumbai
KIA SELTOS,KIA,2022,98623,Diesel,Auto,19348,1130000,4,Mumbai
Ford New Figo,Ford,2016,52830,Petrol,Manual,5005,225000,10,Mumbai
Hyundai New Elantra,Hyundai,2021,52079,Petrol,Auto,15410,900000,5,Mumbai
Maruti Alto K10,Maruti,2023,15110,Petrol,Manual,6617,375000,3,Mumbai
Maruti Ciaz,Maruti,2017,57158,Petrol,Auto,8798,450000,9,Mumbai
Maruti Celerio X,Maruti,2018,46076,Petrol,Auto,5790,328000,8,Mumbai
Maruti Wagon R 1.0,Maruti,2018,97067,CNG,Manual,6756,304000,8,Mumbai
Ford Ecosport,Ford,2013,70238,Petrol,Manual,12093,256999,13,Mumbai
Maruti Ertiga,Maruti,2021,137334,Petrol,Auto,17729,797000,5,Mumbai
Hyundai Grand i10,Hyundai,2017,69552,Petrol,Auto,6393,327000,9,Mumbai
Tata Tiago,Tata,2016,66642,Petrol,Manual,6095,274000,10,Mumbai
Hyundai Creta,Hyundai,2017,71348,Petrol,Manual,10870,556000,9,Mumbai
Ford Ecosport,Ford,2018,85315,Diesel,Manual,9384,480000,8,Mumbai
Hyundai Xcent,Hyundai,2014,40290,Petrol,Manual,9379,282000,12,Mumbai
Maruti Wagon R Stingray,Maruti,2014,55983,Petrol,Manual,7872,237000,12,Mumbai
KIA SONET,KIA,2021,53981,Petrol,Manual,12025,681000,5,Mumbai
Renault Kwid,Renault,2017,54483,Petrol,Auto,4729,242000,9,Mumbai
Hyundai Creta,Hyundai,2018,47914,Petrol,Auto,12581,713000,8,Mumbai
