Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Honda Amaze,Honda,2014,94973,Diesel,Manual,8285,176000,12,Jaipur
Hyundai Verna,Hyundai,2010,50242,Petrol,Manual,8285,87000,16,Jaipur
Mahindra TUV300,Mahindra,2016,210417,Diesel,Manual,6531,248000,10,Jaipur
Ford Ecosport,Ford,2014,130259,Diesel,Manual,11203,238000,12,Jaipur
Hyundai Santro Xing,Hyundai,2012,53168,Petrol,Manual,10573,119000,14,Jaipur
Mahindra TUV300,Mahindra,2019,55040,Diesel,Manual,8526,483000,7,Jaipur
Hyundai Eon,Hyundai,2014,89088,Petrol,Manual,3753,112999,12,Jaipur
Hyundai Eon,Hyundai,2012,113194,Petrol,Manual,8263,93000,14,Jaipur
Hyundai Elite i20,Hyundai,2014,109292,Diesel,Manual,15158,322000,12,Jaipur
KIA SONET,KIA,2022,66033,Petrol,Manual,10856,615000,4,Jaipur
Maruti Alto 800,Maruti,2017,46096,Petrol,Manual,5298,271000,9,Jaipur
Hyundai i10,Hyundai,2015,68414,Petrol,Manual,5635,214000,11,Jaipur
Maruti Swift,Maruti,2024,45251,Petrol,Manual,11209,635000,2,Jaipur
Maruti Baleno,Maruti,2020,46917,Petrol,Manual,7008,397000,6,Jaipur
Tata NEXON,Tata,2018,252939,Diesel,Manual,12234,550000,8,Jaipur
Maruti Wagon R 1.0,Maruti,2014,77119,Petrol,Manual,5746,173000,12,Jaipur
Toyota Etios,Toyota,2011,142551,Petrol,Manual,5746,211000,15,Jaipur
Renault Duster,Renault,2015,174080,Diesel,Manual,7274,219000,11,Jaipur
Maruti Swift Dzire,Maruti,2013,178420,Petrol,Manual,12992,276000,13,Jaipur
Renault TRIBER,Renault,2020,41640,Petrol,Manual,6055,343000,6,Jaipur
Maruti Wagon R 1.0,Maruti,2014,149932,Petrol,Manual,5813,175000,12,Jaipur
Ford Figo,Ford,2012,182741,Diesel,Manual,5813,82000,14,Jaipur
Ford New Figo,Ford,2016,145611,Diesel,Manual,6109,231999,10,Jaipur
KIA SELTOS,KIA,2020,93492,Diesel,Manual,13416,760000,6,Jaipur
Mahindra Bolero,Mahindra,2020,117933,Diesel,Manual,17128,770000,6,Jaipur
Maruti Ertiga,Maruti,2013,117952,Diesel,Manual,25233,284000,13,Jaipur
Nissan Sunny,Nissan,2013,103622,Diesel,Manual,13061,147000,13,Jaipur
Mahindra XUV500,Mahindra,2014,148387,Diesel,Manual,16805,357000,12,Jaipur
Audi A4,Audi,2011,109666,Diesel,Auto,16805,542000,15,Jaipur
Hyundai NEW I20,Hyundai,2024,17717,Petrol,Manual,15650,914000,2,Jaipur
Tata TIGOR,Tata,2022,43671,Petrol,Manual,9444,535000,4,Jaipur
Honda Amaze,Honda,2014,111029,Diesel,Manual,9321,198000,12,Jaipur
Hyundai AURA,Hyundai,2020,56486,Petrol,Manual,7732,438000,6,Jaipur
Hyundai Grand i10,Hyundai,2016,80330,Petrol,Manual,5517,248000,10,Jaipur
Maruti Swift,Maruti,2014,132311,Petrol,Manual,7639,229999,12,Jaipur
Tata PUNCH,Tata,2022,95690,Petrol,Manual,8703,493000,4,Jaipur
Hyundai Grand i10,Hyundai,2015,133232,Diesel,Manual,8038,242000,11,Jaipur
Chevrolet Beat,Chevrolet,2012,69538,Diesel,Manual,8038,68000,14,Jaipur
Hyundai i20,Hyundai,2013,107390,Diesel,Manual,13505,152000,13,Jaipur
Hyundai Xcent,Hyundai,2015,174677,Diesel,Manual,5979,180000,11,Jaipur
Tata PUNCH,Tata,2022,63153,Petrol,Manual,8879,503000,4,Jaipur
Hyundai i10,Hyundai,2011,109385,Petrol,Manual,8879,128000,15,Jaipur
Honda City,Honda,2014,94635,Diesel,Manual,12992,276000,12,Jaipur
Renault Duster,Renault,2013,215965,Diesel,Manual,18836,212000,13,Jaipur
Tata NEXON,Tata,2019,191441,Diesel,Manual,7763,349000,7,Jaipur
Maruti Wagon R 1.0,Maruti,2011,118833,Petrol,Manual,7763,97000,15,Jaipur
Honda City,Honda,2018,50353,Petrol,Manual,7961,451000,8,Jaipur
Skoda Fabia,Skoda,2011,53982,Petrol,Manual,7961,119000,15,Jaipur
Maruti Baleno,Maruti,2015,78112,Petrol,Manual,11218,426000,11,Jaipur
Tata NEXON,Tata,2019,32500,Petrol,Manual,10592,600000,7,Jaipur
Hyundai Eon,Hyundai,2017,73961,Petrol,Manual,4301,220000,9,Jaipur
Mahindra Scorpio,Mahindra,2017,21133,Diesel,Manual,18612,856000,9,Jaipur
Renault Kwid,Renault,2020,112390,Petrol,Manual,5672,254999,6,Jaipur
Tata NEXON,Tata,2022,22590,Petrol,Auto,13451,762000,4,Jaipur
Nissan Terrano,Nissan,2016,154769,Diesel,Manual,5267,200000,10,Jaipur
Honda City,Honda,2015,131443,Diesel,Manual,9333,281000,11,Jaipur
Tata NEXON,Tata,2021,38153,Petrol,Manual,11439,648000,5,Jaipur
Hyundai Elite i20,Hyundai,2015,174134,Diesel,Manual,12123,365000,11,Jaipur
Maruti Swift,Maruti,2024,4119,Petrol,Manual,13081,741000,2,Jaipur
Hyundai i20,Hyundai,2011,120559,Petrol,Manual,13081,97000,15,Jaipur
Maruti Baleno,Maruti,2016,42389,Petrol,Auto,9632,433000,10,Jaipur
Skoda Rapid,Skoda,2017,218146,Diesel,Manual,10166,457000,9,Jaipur
Hyundai Eon,Hyundai,2015,73606,Petrol,Manual,3186,121000,11,Jaipur
Maruti Alto K10,Maruti,2011,70366,Petrol,Manual,3186,155000,15,Jaipur
Maruti Alto 800,Maruti,2016,68458,Petrol,Manual,4916,221000,10,Jaipur
Ford Ecosport,Ford,2015,171693,Diesel,Manual,8005,241000,11,Jaipur
Mahindra XUV500,Mahindra,2015,116714,Diesel,Manual,16209,488000,11,Jaipur
Mahindra Scorpio,Mahindra,2010,205000,Diesel,Manual,16209,182000,16,Jaipur
Toyota Etios,Toyota,2011,120392,Petrol,Manual,16209,123000,15,Jaipur
Hyundai Xcent,Hyundai,2014,117357,Petrol,Manual,9898,298000,12,Jaipur
Hyundai i10,Hyundai,2011,98084,Petrol,Manual,9898,120000,15,Jaipur
Ford Figo,Ford,2012,141805,Diesel,Manual,9898,74000,14,Jaipur
Hyundai i10,Hyundai,2013,116355,Petrol,Manual,7061,150000,13,Jaipur
Maruti Vitara Brezza,Maruti,2017,122129,Diesel,Manual,9209,413999,9,Jaipur
Maruti Swift,Maruti,2012,212879,Diesel,Manual,9209,261000,14,Jaipur
Hyundai Grand i10,Hyundai,2015,198505,Diesel,Manual,7872,237000,11,Jaipur
Datsun Go,Datsun,2016,83901,Petrol,Manual,3337,150000,10,Jaipur
Honda Brio,Honda,2013,152602,Petrol,Manual,7908,168000,13,Jaipur
Chevrolet Sail,Chevrolet,2014,105971,Diesel,Manual,5602,119000,12,Jaipur
Hyundai VENUE,Hyundai,2021,44111,Petrol,Manual,11121,630000,5,Jaipur
Maruti Swift,Maruti,2015,98426,Petrol,Manual,8558,325000,11,Jaipur
Tata Bolt,Tata,2015,158354,Petrol,Manual,3608,137000,11,Jaipur
Hyundai Verna,Hyundai,2013,144379,Diesel,Manual,24256,273000,13,Jaipur
Mahindra Verito,Mahindra,2014,167700,Diesel,Manual,4943,105000,12,Jaipur
Maruti Swift,Maruti,2015,109761,Petrol,Manual,10929,415000,11,Jaipur
Skoda Rapid,Skoda,2012,93028,Petrol,Manual,14394,162000,14,Jaipur
Hyundai i10,Hyundai,2011,59748,Petrol,Manual,14394,165000,15,Jaipur
Maruti Ertiga,Maruti,2018,75797,Diesel,Manual,10283,526000,8,Jaipur
Maruti Wagon R 1.0,Maruti,2013,77241,Petrol,Manual,9415,200000,13,Jaipur
Maruti Vitara Brezza,Maruti,2017,154571,Diesel,Manual,9899,445000,9,Jaipur
Maruti Swift,Maruti,2016,119841,Petrol,Manual,6748,303000,10,Jaipur
Honda Jazz,Honda,2012,94237,Petrol,Manual,14571,164000,14,Jaipur
Tata PUNCH,Tata,2023,24086,Petrol,Auto,11157,632000,3,Jaipur
Renault Kwid,Renault,2021,43767,Petrol,Manual,4943,280000,5,Jaipur
Hyundai Elite i20,Hyundai,2014,74876,Diesel,Manual,16334,347000,12,Jaipur
Mahindra XUV500,Mahindra,2014,168453,Diesel,Manual,16805,357000,12,Jaipur
Hyundai i10,Hyundai,2011,131197,Petrol,Manual,16805,65000,15,Jaipur
Honda Amaze,Honda,2015,68011,Petrol,Manual,8585,326000,11,Jaipur
Maruti Alto 800,Maruti,2017,55364,Petrol,Manual,4653,238000,9,Jaipur
Maruti Baleno,Maruti,2020,62243,Petrol,Manual,8526,483000,6,Jaipur
Tata Harrier,Tata,2019,15436,Diesel,Manual,15410,900000,7,Jaipur
Hyundai Grand i10,Hyundai,2015,86000,Petrol,Manual,6610,250999,11,Jaipur
Maruti Wagon R 1.0,Maruti,2017,27795,Petrol,Auto,6471,331000,9,Jaipur
Maruti Wagon R Duo,Maruti,2010,123870,Petrol,Manual,6471,61000,16,Jaipur
Ford Figo,Ford,2011,111862,Diesel,Manual,6471,85000,15,Jaipur
Volkswagen Polo,Volkswagen,2011,156961,Diesel,Manual,6471,138000,15,Jaipur
Hyundai i20,Hyundai,2011,87677,Petrol,Manual,6471,165000,15,Jaipur
Maruti Baleno,Maruti,2022,52618,Petrol,Manual,8491,480999,4,Jaipur
Maruti Alto K10,Maruti,2015,72959,Petrol,Manual,6373,242000,11,Jaipur
Hyundai Xcent,Hyundai,2015,87387,Petrol,Manual,6504,247000,11,Jaipur
Tata TIAGO EV,Tata,2023,35896,Electric,Auto,13045,739000,3,Jaipur
Maruti Swift,Maruti,2015,105961,Diesel,Manual,11393,343000,11,Jaipur
Honda City,Honda,2011,131704,Petrol,Manual,11393,204999,15,Jaipur
