Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Chevrolet Enjoy,Chevrolet,2015,186634,Diesel,Manual,4584,138000,11,Agra
Maruti Baleno,Maruti,2018,120084,Diesel,Manual,8898,400000,8,Agra
Mahindra NUVOSPORT,Mahindra,2017,152410,Diesel,Manual,8297,373000,9,Agra
Honda Amaze,Honda,2016,117507,Diesel,Manual,6952,264000,10,Agra
Renault Duster,Renault,2013,89336,Diesel,Manual,12972,146000,13,Agra
Jeep Compass,Jeep,2017,168684,Petrol,Auto,14459,650000,9,Agra
Maruti Swift,Maruti,2011,136449,Diesel,Manual,14459,100000,15,Agra
Tata NEXON,Tata,2020,58807,Petrol,Manual,12463,706000,6,Agra
Maruti Swift Dzire,Maruti,2015,35243,Diesel,Manual,11691,352000,11,Agra
Toyota Innova Crysta,Toyota,2017,122976,Diesel,Manual,20460,941000,9,Agra
Maruti Swift,Maruti,2023,54210,Petrol,Manual,18287,1068000,3,Agra
Mahindra XUV700,Mahindra,2022,31984,Petrol,Manual,19811,1157000,4,Agra
Ford Classic,Ford,2012,207867,Diesel,Manual,19811,93000,14,Agra
Maruti Dzire,Maruti,2018,82047,Diesel,Manual,8309,425000,8,Agra
Renault Pulse,Renault,2014,131341,Diesel,Manual,6590,140000,12,Agra
Chevrolet Enjoy,Chevrolet,2013,113248,Diesel,Manual,10928,123000,13,Agra
Mahindra XUV500,Mahindra,2016,147207,Diesel,Manual,12482,474000,10,Agra
Maruti IGNIS,Maruti,2019,42567,Petrol,Manual,6178,350000,7,Agra
Maruti Dzire,Maruti,2018,82549,Petrol,Manual,7061,400000,8,Agra
Honda City,Honda,2013,119411,Petrol,Manual,10639,225999,13,Agra
Nissan Micra,Nissan,2012,73760,Diesel,Manual,10639,130000,14,Agra
Mahindra Scorpio,Mahindra,2017,133298,Diesel,Manual,16906,760000,9,Agra
Nissan Micra,Nissan,2012,133949,Diesel,Manual,16906,107000,14,Agra
Ford Figo Aspire,Ford,2018,78585,Petrol,Manual,5649,320000,8,Agra
Tata NEXON,Tata,2024,12741,Diesel,Manual,16112,941000,2,Agra
Maruti Baleno,Maruti,2023,144481,Petrol,Manual,13369,601000,3,Agra
Mahindra XUV700,Mahindra,2023,47061,Diesel,Manual,29433,1719000,3,Agra
Skoda Fabia,Skoda,2012,132489,Diesel,Manual,29433,68000,14,Agra
Maruti Wagon R 1.0,Maruti,2012,69977,Petrol,Manual,11461,129000,14,Agra
Maruti Baleno,Maruti,2018,48531,Petrol,Manual,7644,433000,8,Agra
Tata NEXON,Tata,2024,39056,Petrol,Manual,15410,900000,2,Agra
Maruti Vitara Brezza,Maruti,2017,115024,Diesel,Manual,10677,480000,9,Agra
Honda Amaze,Honda,2022,13048,Petrol,Manual,11232,636000,4,Agra
Honda City,Honda,2017,52538,Petrol,Manual,11984,613000,9,Agra
Ford Ecosport,Ford,2017,110002,Diesel,Manual,8342,375000,9,Agra
Tata NEXON,Tata,2019,61904,Petrol,Manual,8703,493000,7,Agra
Skoda SLAVIA,Skoda,2023,13821,Petrol,Auto,20650,1206000,3,Agra
Maruti Baleno,Maruti,2017,168168,Petrol,Manual,7630,343000,9,Agra
Ford Figo,Ford,2013,111890,Diesel,Manual,7730,87000,13,Agra
Hyundai i20,Hyundai,2011,111584,Petrol,Manual,7730,100000,15,Agra
Renault Lodgy,Renault,2017,75122,Diesel,Manual,7786,350000,9,Agra
Maruti Alto,Maruti,2021,45344,Petrol,Manual,5119,290000,5,Agra
Maruti BREZZA,Maruti,2023,54000,Petrol,Manual,12992,736000,3,Agra
Maruti Celerio,Maruti,2018,41833,Petrol,Manual,5225,296000,8,Agra
Tata Tiago,Tata,2022,48682,Petrol,Manual,8791,498000,4,Agra
Tata NEXON,Tata,2024,24724,Petrol,Manual,14657,856000,2,Agra
Mahindra XUV500,Mahindra,2016,54188,Diesel,Manual,12008,455999,10,Agra
Tata NEXON,Tata,2022,53199,Diesel,Manual,15599,911000,4,Agra
Honda Amaze,Honda,2018,144830,Diesel,Manual,8720,392000,8,Agra
Mahindra XUV500,Mahindra,2017,83456,Diesel,Manual,13858,623000,9,Agra
Maruti Swift Dzire,Maruti,2015,39299,Petrol,Manual,7847,298000,11,Agra
Maruti Baleno,Maruti,2018,110021,Petrol,Manual,9298,418000,8,Agra
Honda Jazz,Honda,2017,63145,Petrol,Manual,6843,350000,9,Agra
Tata Tiago,Tata,2022,64287,Petrol,Manual,7944,450000,4,Agra
Maruti Vitara Brezza,Maruti,2018,102027,Diesel,Auto,11790,530000,8,Agra
Maruti Ciaz,Maruti,2018,48864,Petrol,Manual,8915,505000,8,Agra
Maruti Swift,Maruti,2011,75236,Petrol,Manual,8915,142000,15,Agra
Tata NEXON,Tata,2022,15686,Petrol,Manual,14034,795000,4,Agra
Tata NEXON,Tata,2018,129149,Diesel,Manual,10677,480000,8,Agra
Hyundai Verna,Hyundai,2017,195000,Diesel,Manual,11745,528000,9,Agra
Volkswagen Vento,Volkswagen,2015,124935,Diesel,Auto,10130,305000,11,Agra
Hyundai Creta,Hyundai,2017,80164,Diesel,Manual,14348,645000,9,Agra
Honda Amaze,Honda,2017,72525,Petrol,Manual,5787,296000,9,Agra
Hyundai VENUE,Hyundai,2022,44589,Petrol,Manual,11527,653000,4,Agra
Maruti Dzire,Maruti,2017,111836,Diesel,Manual,9409,423000,9,Agra
Maruti Swift Dzire,Maruti,2011,48835,Petrol,Manual,9409,106000,15,Agra
Renault TRIBER,Renault,2023,53091,Petrol,Manual,9038,512000,3,Agra
Toyota Innova Crysta,Toyota,2020,178152,Diesel,Manual,36375,1673000,6,Agra
Tata TIAGO EV,Tata,2024,7323,Electric,Auto,14212,830000,2,Agra
Honda City,Honda,2015,154733,Diesel,Manual,10263,309000,11,Agra
Honda City,Honda,2013,126540,Petrol,Manual,12616,268000,13,Agra
Mahindra XUV300,Mahindra,2019,111654,Diesel,Manual,12234,550000,7,Agra
Hyundai Grand i10,Hyundai,2016,53813,Petrol,Manual,6940,312000,10,Agra
Tata NEXON,Tata,2021,61767,Petrol,Manual,10256,581000,5,Agra
Toyota Etios Liva,Toyota,2015,40553,Petrol,Manual,6373,242000,11,Agra
Maruti Dzire,Maruti,2018,103640,Diesel,Manual,9231,415000,8,Agra
KIA SONET,KIA,2021,41988,Petrol,Manual,13434,761000,5,Agra
Ford Ecosport,Ford,2019,65454,Petrol,Manual,8348,473000,7,Agra
Hyundai Verna,Hyundai,2019,59834,Diesel,Manual,10150,575000,7,Agra
Mahindra XUV300,Mahindra,2022,79480,Diesel,Manual,11421,647000,4,Agra
Hyundai Creta,Hyundai,2019,167966,Diesel,Manual,13347,600000,7,Agra
Honda Jazz,Honda,2012,204296,Petrol,Manual,13683,154000,14,Agra
Maruti Wagon R 1.0,Maruti,2015,78066,Petrol,Manual,4687,178000,11,Agra
MG HECTOR,MG,2022,44613,Petrol,Auto,21506,1256000,4,Agra
Mahindra Bolero,Mahindra,2019,85558,Diesel,Manual,8791,498000,7,Agra
Maruti Dzire,Maruti,2020,66955,Petrol,Manual,9074,513999,6,Agra
Maruti Dzire,Maruti,2018,118492,Petrol,Auto,9076,408000,8,Agra
Mahindra XUV500,Mahindra,2015,83523,Diesel,Manual,14183,426999,11,Agra
Maruti Grand Vitara,Maruti,2024,20807,Petrol,Manual,18150,1060000,2,Agra
Maruti Swift,Maruti,2016,115962,Diesel,Manual,8190,311000,10,Agra
Mahindra XUV700,Mahindra,2024,20950,Diesel,Manual,28423,1660000,2,Agra
Maruti Ertiga,Maruti,2013,63111,Diesel,Manual,39271,442000,13,Agra
Hyundai i10,Hyundai,2011,31485,Petrol,Manual,39271,110000,15,Agra
Ford Ecosport,Ford,2017,141391,Diesel,Manual,7140,321000,9,Agra
Maruti Vitara Brezza,Maruti,2018,66160,Diesel,Manual,9462,484000,8,Agra
Mahindra BOLERO NEO,Mahindra,2024,4733,Diesel,Manual,18287,1068000,2,Agra
Hyundai Elite i20,Hyundai,2017,59420,Petrol,Manual,7820,400000,9,Agra
Ford Ecosport,Ford,2018,65233,Petrol,Auto,8597,487000,8,Agra
Hyundai Creta,Hyundai,2018,89859,Diesel,Manual,12805,655000,8,Agra
Hyundai Elite i20,Hyundai,2016,201721,Diesel,Manual,9375,356000,10,Agra
Hyundai Verna,Hyundai,2024,22349,Petrol,Auto,26557,1551000,2,Agra
Skoda KUSHAQ,Skoda,2022,63820,Petrol,Manual,13963,791000,4,Agra
Tata ALTROZ,Tata,2022,52324,Petrol,Manual,11757,666000,4,Agra
Maruti Baleno,Maruti,2019,44624,Petrol,Manual,8032,455000,7,Agra
Honda Amaze,Honda,2018,77520,Diesel,Manual,8055,412000,8,Agra
Maruti S Cross,Maruti,2017,60615,Diesel,Manual,9298,418000,9,Agra
Maruti Dzire,Maruti,2019,58242,Petrol,Manual,8509,482000,7,Agra
Maruti Dzire,Maruti,2019,76870,Petrol,Manual,7321,415000,7,Agra
Hyundai Creta,Hyundai,2017,209123,Diesel,Manual,13013,585000,9,Agra
Maruti Grand Vitara,Maruti,2024,26590,Hybrid,Auto,25170,1470000,2,Agra
Tata Harrier,Tata,2019,70624,Diesel,Manual,14982,875000,7,Agra
Tata Tiago,Tata,2019,82198,Petrol,Manual,6161,349000,7,Agra
Maruti Ciaz,Maruti,2014,142000,Diesel,Manual,12663,269000,12,Agra
