Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Hyundai Elite i20,Hyundai,2018,78623,Petrol,Manual,6867,389000,8,Surat
Mercedes Benz E Class,Mercedes,2012,51292,Petrol,Auto,35184,396000,14,Surat
Honda Brio,Honda,2014,36350,Petrol,Manual,7407,223000,12,Surat
Hyundai Eon,Hyundai,2015,123398,Petrol,Manual,4213,160000,11,Surat
Maruti Wagon R 1.0,Maruti,2017,65300,Petrol,Manual,4809,246000,9,Surat
Hyundai i10,Hyundai,2015,104444,Petrol,Manual,7031,267000,11,Surat
Skoda Fabia,Skoda,2011,135072,Diesel,Manual,7031,77000,15,Surat
Skoda Rapid,Skoda,2013,112880,Diesel,Manual,14394,162000,13,Surat
Toyota Etios,Toyota,2011,72737,Petrol,Manual,14394,143000,15,Surat
Volkswagen Vento,Volkswagen,2015,120345,Petrol,Auto,6662,252999,11,Surat
Nissan MAGNITE,Nissan,2022,19440,Petrol,Manual,9903,561000,4,Surat
Volkswagen Vento,Volkswagen,2011,118201,Petrol,Manual,9903,100000,15,Surat
Mahindra Kuv100,Mahindra,2015,70063,Diesel,Manual,4584,138000,11,Surat
Skoda Rapid,Skoda,2012,10489,Diesel,Manual,4584,192000,14,Surat
Maruti Wagon R 1.0,Maruti,2012,54155,Petrol,Manual,14038,158000,14,Surat
Maruti Swift,Maruti,2014,109066,Diesel,Manual,11384,242000,12,Surat
MG ASTOR,MG,2023,42302,Petrol,Auto,20547,1200000,3,Surat
Hyundai Elite i20,Hyundai,2014,85115,Petrol,Manual,10629,320000,12,Surat
Honda Mobilio,Honda,2014,128000,Diesel,Manual,14122,300000,12,Surat
Tata Indigo ECS,Tata,2016,224479,Diesel,Manual,3634,138000,10,Surat
Maruti Swift Dzire,Maruti,2011,155000,Diesel,Manual,3634,131000,15,Surat
MG HECTOR,MG,2019,97572,Petrol,Manual,12233,693000,7,Surat
Tata PUNCH,Tata,2024,11912,Petrol,Manual,12551,711000,2,Surat
Maruti S Cross,Maruti,2018,97776,Diesel,Manual,9462,484000,8,Surat
