Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Tata Safari,Tata,2022,61296,Diesel,Manual,21215,1239000,4,Patna
Maruti Baleno,Maruti,2020,52303,Petrol,Auto,10839,614000,6,Patna
MG HECTOR PLUS,MG,2024,4402,Petrol,Manual,35341,2064000,2,Patna
Hyundai i20 Active,Hyundai,2018,57016,Petrol,Manual,7502,425000,8,Patna
Maruti XL6,Maruti,2024,41353,Petrol,Manual,20376,1190000,2,Patna
Ford Ecosport,Ford,2018,62721,Diesel,Manual,10518,538000,8,Patna
KIA SELTOS,KIA,2024,23482,Petrol,Manual,21951,1282000,2,Patna
Mahindra XUV700,Mahindra,2024,31151,Diesel,Manual,37276,2177000,2,Patna
Maruti Ertiga,Maruti,2014,99166,Petrol,Manual,11858,357000,12,Patna
Tata Hexa,Tata,2018,85880,Diesel,Manual,15970,839000,8,Patna
Maruti Ciaz,Maruti,2019,40279,Petrol,Manual,10856,615000,7,Patna
Hyundai GRAND I10 NIOS,Hyundai,2022,14747,Petrol,Manual,7944,450000,4,Patna
Mahindra XUV300,Mahindra,2023,30835,Petrol,Manual,16266,950000,3,Patna
Tata Harrier,Tata,2019,915510,Diesel,Manual,20547,944999,7,Patna
Mahindra BOLERO NEO,Mahindra,2022,140279,Diesel,Manual,17394,800000,4,Patna
Hyundai VENUE,Hyundai,2019,49821,Petrol,Auto,12339,699000,7,Patna
Tata Safari,Tata,2021,41935,Diesel,Manual,26540,1550000,5,Patna
Maruti BREZZA,Maruti,2023,32506,Petrol,Manual,13698,800000,3,Patna
Jeep Compass,Jeep,2018,193186,Diesel,Manual,19286,886999,8,Patna
Hyundai Elite i20,Hyundai,2016,59163,Diesel,Manual,10955,416000,10,Patna
Mahindra XUV300,Mahindra,2023,65765,Diesel,Manual,15667,915000,3,Patna
Honda Amaze,Honda,2020,101220,Diesel,Manual,12234,550000,6,Patna
MG HECTOR PLUS,MG,2022,34777,Diesel,Manual,31540,1842000,4,Patna
Ford Ecosport,Ford,2020,167209,Diesel,Manual,13680,615000,6,Patna
Maruti Swift,Maruti,2021,61700,Petrol,Manual,9356,530000,5,Patna
Maruti IGNIS,Maruti,2021,21430,Petrol,Manual,7513,426000,5,Patna
Mahindra XUV700,Mahindra,2023,72164,Diesel,Manual,26043,1521000,3,Patna
Mahindra SCORPIO-N,Mahindra,2024,6107,Diesel,Auto,43953,2567000,2,Patna
MG HECTOR PLUS,MG,2021,35835,Diesel,Manual,26403,1542000,5,Patna
Maruti Swift Dzire,Maruti,2018,55353,Diesel,Manual,7390,378000,8,Patna
Hyundai GRAND I10 NIOS,Hyundai,2021,17709,Petrol,Manual,9480,537000,5,Patna
Mahindra SCORPIO-N,Mahindra,2024,17527,Diesel,Auto,39930,2332000,2,Patna
KIA SELTOS,KIA,2021,2294,Petrol,Manual,15410,900000,5,Patna
Maruti Dzire,Maruti,2017,81858,Petrol,Manual,8798,450000,9,Patna
KIA SONET,KIA,2024,25293,Petrol,Manual,15410,900000,2,Patna
Maruti S Cross,Maruti,2016,77477,Diesel,Manual,10191,387000,10,Patna
Hyundai Grand i10,Hyundai,2017,56145,Petrol,Manual,6979,357000,9,Patna
Tata Harrier,Tata,2021,62925,Diesel,Manual,22259,1300000,5,Patna
Maruti Swift,Maruti,2022,20579,Petrol,Manual,10733,608000,4,Patna
Hyundai Creta,Hyundai,2020,7157,Diesel,Manual,24810,1449000,6,Patna
Ford Endeavour,Ford,2020,66288,Diesel,Auto,41094,2400000,6,Patna
KIA SELTOS,KIA,2022,77077,Diesel,Manual,17071,997000,4,Patna
MG HECTOR,MG,2023,68769,Petrol,Auto,34878,2037000,3,Patna
Mahindra XUV500,Mahindra,2013,109683,Diesel,Manual,46823,527000,13,Patna
Maruti IGNIS,Maruti,2023,26492,Petrol,Manual,7944,450000,3,Patna
Tata Tiago,Tata,2021,22783,Petrol,Manual,7321,415000,5,Patna
Maruti Dzire,Maruti,2023,38536,Petrol,Manual,11315,641000,3,Patna
CITROEN C3,CITROEN,2023,24928,Petrol,Manual,11615,658000,3,Patna
Mahindra XUV 3XO,Mahindra,2024,24189,Petrol,Manual,21591,1261000,2,Patna
Hyundai Creta,Hyundai,2023,26321,Petrol,Manual,22465,1312000,3,Patna
Mahindra Scorpio,Mahindra,2015,256183,Diesel,Manual,25176,758000,11,Patna
MG ASTOR,MG,2024,9105,Petrol,Manual,16438,960000,2,Patna
Maruti Grand Vitara,Maruti,2023,15973,Petrol,Manual,20256,1183000,3,Patna
Maruti IGNIS,Maruti,2021,43822,Petrol,Auto,10150,575000,5,Patna
Renault Kiger,Renault,2022,48681,Petrol,Manual,12904,731000,4,Patna
Tata Harrier,Tata,2021,84959,Diesel,Manual,20547,1200000,5,Patna
Tata NEXON EV,Tata,2022,24055,Electric,Auto,15684,916000,4,Patna
Toyota Innova,Toyota,2013,115129,Diesel,Manual,46734,526000,13,Patna
Maruti Dzire,Maruti,2021,66502,Petrol,Manual,12516,709000,5,Patna
Ford Ecosport,Ford,2019,77153,Diesel,Manual,11986,679000,7,Patna
Maruti Ciaz,Maruti,2023,19627,Petrol,Manual,13869,810000,3,Patna
Mahindra SCORPIO CLASSIC,Mahindra,2022,2871,Diesel,Manual,27773,1622000,4,Patna
Hyundai NEW I20 N LINE,Hyundai,2022,37920,Petrol,Manual,16523,965000,4,Patna
Toyota Innova Crysta,Toyota,2016,265075,Diesel,Manual,23261,900000,10,Patna
Hyundai Tucson,Hyundai,2022,35000,Petrol,Auto,30820,1800000,4,Patna
Hyundai i20 Active,Hyundai,2018,70579,Diesel,Manual,20328,1068000,8,Patna
Hyundai VENUE N LINE,Hyundai,2023,33532,Petrol,Auto,19451,1136000,3,Patna
Mahindra ALTURAS G4,Mahindra,2019,137748,Diesel,Auto,45507,2093000,7,Patna
Mahindra ALTURAS G4,Mahindra,2020,64235,Diesel,Auto,48131,2811000,6,Patna
MG GLOSTER,MG,2023,82832,Diesel,Auto,63216,3692000,3,Patna
Tata Safari,Tata,2023,42661,Diesel,Manual,30820,1800000,3,Patna
Mahindra Scorpio,Mahindra,2022,82625,Diesel,Manual,28149,1644000,4,Patna
Toyota Innova Crysta,Toyota,2021,82787,Diesel,Manual,30820,1800000,5,Patna
Maruti Dzire,Maruti,2024,44836,Petrol,Manual,13766,803999,2,Patna
KIA SELTOS,KIA,2020,44210,Diesel,Manual,20376,1190000,6,Patna
Skoda Yeti,Skoda,2011,180781,Diesel,Manual,20376,188000,15,Patna
Maruti Swift,Maruti,2018,33345,Petrol,Manual,8385,475000,8,Patna
Maruti Celerio,Maruti,2021,72775,Petrol,Manual,5649,320000,5,Patna
Maruti Celerio,Maruti,2016,52386,Petrol,Auto,5697,256000,10,Patna
Maruti Baleno,Maruti,2020,48273,Petrol,Manual,8297,470000,6,Patna
Maruti IGNIS,Maruti,2022,29636,Petrol,Manual,7353,417000,4,Patna
Ford Ecosport,Ford,2021,12457,Petrol,Manual,10786,611000,5,Patna
Tata Tiago,Tata,2023,45481,Petrol,Manual,7149,405000,3,Patna
Hyundai Eon,Hyundai,2014,69866,Petrol,Manual,5294,159000,12,Patna
Mahindra XUV500,Mahindra,2019,91379,Diesel,Manual,14724,860000,7,Patna
Renault Kwid,Renault,2022,19489,Petrol,Manual,6178,350000,4,Patna
