Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
KIA SELTOS,KIA,2020,112051,Diesel,Manual,19568,900000,6,Nagpur
Maruti Alto,Maruti,2012,102600,Petrol,Manual,9773,110000,14,Nagpur
Maruti S PRESSO,Maruti,2020,47313,Petrol,Manual,6178,350000,6,Nagpur
Hyundai Grand i10,Hyundai,2015,92950,Petrol,Manual,8163,310000,11,Nagpur
Tata NEXON,Tata,2019,91142,Diesel,Manual,8544,484000,7,Nagpur
Maruti Baleno,Maruti,2023,45918,Petrol,Manual,12357,700000,3,Nagpur
Chevrolet Sail,Chevrolet,2014,104088,Petrol,Manual,4085,123000,12,Nagpur
Toyota Glanza,Toyota,2020,49393,Petrol,Manual,9709,550000,6,Nagpur
Honda City,Honda,2010,110425,Petrol,Manual,9709,126000,16,Nagpur
Tata Hexa,Tata,2018,395607,Diesel,Manual,13347,600000,8,Nagpur
Maruti Ritz,Maruti,2011,159007,Diesel,Manual,13347,157000,15,Nagpur
Ford Figo,Ford,2010,101121,Petrol,Manual,13347,86000,16,Nagpur
Tata Harrier,Tata,2022,75622,Diesel,Auto,23287,1360000,4,Nagpur
Ford Ecosport,Ford,2015,131127,Diesel,Manual,11791,355000,11,Nagpur
Maruti Swift Dzire,Maruti,2014,88536,Diesel,Manual,15440,328000,12,Nagpur
Maruti Swift,Maruti,2015,55138,Petrol,Manual,9103,346000,11,Nagpur
Hyundai Verna,Hyundai,2017,144228,Diesel,Manual,9343,420000,9,Nagpur
Maruti Wagon R 1.0,Maruti,2014,65215,Petrol,Manual,7971,240000,12,Nagpur
Fiat Linea,Fiat,2011,123457,Diesel,Manual,7971,91000,15,Nagpur
Maruti Wagon R 1.0,Maruti,2011,84728,Petrol,Manual,7971,150000,15,Nagpur
Honda City,Honda,2011,67157,Petrol,Manual,7971,190000,15,Nagpur
Hyundai i20,Hyundai,2011,137861,Diesel,Manual,7971,160000,15,Nagpur
Maruti Ertiga,Maruti,2016,166634,Diesel,Manual,15537,590000,10,Nagpur
